"concept","member","sort weight","member type"
"Clinical impression","Vaginitis","14.0","concept-set"
"Clinical impression","Gonorrhea","15.0","concept-set"
"Clinical impression","Trichomonas","16.0","concept-set"
"Clinical impression construct","Clinical impression question","0.0","concept-set"
"Clinical impression construct","Clinical impression etiology","1.0","concept-set"
"Clinical impression construct","Clinical impression diagnosis confirmed","2.0","concept-set"
"Clinical notes construct","Clinician notes","0.0","concept-set"
"Clinical notes construct","Clinical impression comments","1.0","concept-set"
"Clinical symptoms associated with TB","Cough lasting greater than two weeks","0.0","concept-set"
"Clinical symptoms associated with TB","Productive cough","1.0","concept-set"
"Clinical symptoms associated with TB","Night sweats","2.0","concept-set"
"Clinical symptoms associated with TB","Loss of appetite","3.0","concept-set"
"Clinical symptoms associated with TB","Shortness of breath","4.0","concept-set"
"Clinical symptoms associated with TB","Fatigue","5.0","concept-set"
"Clinical symptoms associated with TB","Chest pain","6.0","concept-set"
"Clinical symptoms associated with TB","Unintentional weight loss","7.0","concept-set"
"Clinical symptoms associated with TB","Persistent fever","8.0","concept-set"
"Common Malawi ART symptom set","Lipodystrophy","0.0","concept-set"
"Common Malawi ART symptom set","Anemia","1.0","concept-set"
"Common Malawi ART symptom set","Jaundice","2.0","concept-set"
"Common Malawi ART symptom set","Lactic acidosis","3.0","concept-set"
"Common Malawi ART symptom set","Fever","4.0","concept-set"
"Common Malawi ART symptom set","Skin rash","5.0","concept-set"
"Common Malawi ART symptom set","Abdominal pain","6.0","concept-set"
"Complete blood count","Hematocrit","0.0","concept-set"
"Complete blood count","Hemoglobin","1.0","concept-set"
"Complete blood count","Mean cell hemoglobin concentration","2.0","concept-set"
"Complete blood count","Mean corpuscular hemoglobin","3.0","concept-set"
"Complete blood count","Mean corpuscular volume","4.0","concept-set"
"Complete blood count","Platelets","5.0","concept-set"
"Complete blood count","Red blood cells","6.0","concept-set"
"Complete blood count","Red cell distribution width","7.0","concept-set"
"Complete blood count","White blood cells","8.0","concept-set"
"Conditions At Enrollment Set","Diagnosis","1000.0","concept-set"
"Conditions At Enrollment Set","Clinical Conditions Text","1010.0","concept-set"
"Conditions At Enrollment Set","Other diagnosis","1020.0","concept-set"
"Count of pills returned construct","Antiretroviral drugs","0.0","concept-set"
"Count of pills returned construct","Amount of drug brought to clinic","1.0","concept-set"
"Cryptococcal antingen sample","Cryptococcal antingen","0.0","concept-set"
"Culture sensitivity blood sample","Blood culture","0.0","concept-set"
"Culture Sputum Sample","Culture(1st)","0.0","concept-set"
"Culture Sputum Sample","Culture(2nd)","1.0","concept-set"
"Current Chronic Care Medication Construct","Current drugs used","1000.0","concept-set"
"Current Chronic Care Medication Construct","Current drugs used","1000.0","concept-set"
"Current Chronic Care Medication Construct","Current drugs used","1000.0","concept-set"
"Current Chronic Care Medication Construct","Current drugs used","1000.0","concept-set"
"Current Chronic Care Medication Construct","Current drugs used","1000.0","concept-set"
"Current Chronic Care Medication Construct","Other non-coded (text)","1010.0","concept-set"
"Current Chronic Care Medication Construct","Other non-coded (text)","1010.0","concept-set"
"Current Chronic Care Medication Construct","Other non-coded (text)","1010.0","concept-set"
"Current Chronic Care Medication Construct","Other non-coded (text)","1010.0","concept-set"
"Current Chronic Care Medication Construct","Other non-coded (text)","1010.0","concept-set"
"Current nutritional supplement construct","Likuni phala given to patient","0.0","concept-set"
"Current nutritional supplement construct","Chiponde given to patient","1.0","concept-set"
"Current nutritional supplement construct","Formula given to patient","2.0","concept-set"
"Current nutritional supplement construct","Oil given to patient","3.0","concept-set"
"Current prophylaxis treatment construct","Current prophylaxis regimen or drug","0.0","concept-set"
"Current prophylaxis treatment construct","Current prophylaxis regimen or drug, other","1.0","concept-set"
"Current prophylaxis treatment construct","Prophylaxis started","2.0","concept-set"
"Current prophylaxis treatment construct","Prophylaxis continued","3.0","concept-set"
"Current prophylaxis treatment construct","Prophylaxis dosage","4.0","concept-set"
"Current prophylaxis treatment construct","Number of times per day","5.0","concept-set"
"Current prophylaxis treatment construct","Prophylaxis stopped","6.0","concept-set"
"Current prophylaxis treatment construct","Reason for prophylaxis stop","7.0","concept-set"
"Current prophylaxis treatment construct","Drug start date","8.0","concept-set"
"Dental disorders","Dental caries","1.0","concept-set"
"Dental disorders","Gingivitis","2.0","concept-set"
"Development Counsel Set","Group Session","1000.0","concept-set"
"Developmental Concerns Set","Personal","1000.0","concept-set"
"Developmental Concerns Set","Muscles","1010.0","concept-set"
"Developmental Concerns Set","Problem Solving","1020.0","concept-set"
"Developmental Delay Assessment Set","Weight (kg)","1000.0","concept-set"
"Developmental Delay Assessment Set","Height (cm)","1010.0","concept-set"
"Developmental Delay Assessment Set","Middle upper arm circumference (cm)","1020.0","concept-set"
"Developmental Delay Assessment Set","W/A","1030.0","concept-set"
"Developmental Delay Assessment Set","W/H","1040.0","concept-set"
"Developmental Delay Assessment Set","Wasting/malnutrition","1050.0","concept-set"
"Developmental Delay Assessment Set","Irritability (coded)","1060.0","concept-set"
"Developmental Delay Assessment Set","Tone Set","1070.0","concept-set"
"Developmental Delay Assessment Set","Feeding Set","1080.0","concept-set"
"Developmental Delay Assessment Set","Signs of Cerebral Palsy","1090.0","concept-set"
"Developmental Delay Plan Set","Continue followup","1000.0","concept-set"
"Developmental Delay Plan Set","Physiotherapy","1010.0","concept-set"
"Developmental Delay Plan Set","Play therapy","1020.0","concept-set"
"Developmental Delay Plan Set","Group Counselling","1030.0","concept-set"
"Developmental Delay TSH Test Set","Course Hair","1000.0","concept-set"
"Developmental Delay TSH Test Set","Poor Growth","1010.0","concept-set"
"Diabetes diagnosis set","Diabetes","1000.0","concept-set"
"Diabetes diagnosis set","Type 1 diabetes","1010.0","concept-set"
"Diabetes diagnosis set","Type 2 diabetes","1020.0","concept-set"
"Diabetes medication","Glibenclamide","0.0","concept-set"
"Diabetes medication","Metformin","1.0","concept-set"
"Diabetes medication","Insulin, lente","2.0","concept-set"
"Diabetes medication","Insulin, soluble","3.0","concept-set"
"Diabetes medication","Captopril","4.0","concept-set"
"Diabetes medication","Quinapril","5.0","concept-set"
"Diabetes medication","Aspirin","6.0","concept-set"
"Diabetes medication","Hydrochlorothiazide","7.0","concept-set"
"Diabetes medication","Nifedipine","8.0","concept-set"
"Diabetes medication","Nifedipine SR(slow release)","9.0","concept-set"
"Diabetes medication","Propranolol","10.0","concept-set"
"Diabetes medication","Methyldopa","11.0","concept-set"
"Diabetes medication","Furosemide","12.0","concept-set"
"Diabetes medication","Atenolol","13.0","concept-set"
"Diabetes medication","Amitriptyline","14.0","concept-set"
"Diabetes medication","Ibuprofen","15.0","concept-set"
"Diabetes medication","Vitamin B complex","16.0","concept-set"
"Diabetes medication","Pyridoxine","17.0","concept-set"
"Diabetes medication","Lisinopril","18.0","concept-set"
"Diabetes medication","Amlodipine","19.0","concept-set"
"Diabetes medication","Hydralazine","20.0","concept-set"
"Diabetes medication","Paracetamol","21.0","concept-set"
"Diarrhoea diseases","Acute","0.0","concept-set"
"Diarrhoea diseases","Chronic","1.0","concept-set"
"Directly observed treatment option","Hospital","0.0","concept-set"
"Directly observed treatment option","Guardian","1.0","concept-set"
"Directly observed treatment option","Health center","2.0","concept-set"
"Directly observed treatment option","Community volunteer","3.0","concept-set"
"Drug sensitivity test for tuberculosis construct","Tuberculosis drug sensitivity testing, non-coded","0.0","concept-set"
"Drug sensitivity test for tuberculosis construct","Resistant to tuberculosis drug","1.0","concept-set"
"Drug sensitivity test for tuberculosis construct","Susceptible to tuberculosis drug","2.0","concept-set"
"Drug sensitivity test for tuberculosis construct","Drug sensitivity test not done","3.0","concept-set"
"Drug sensitivity test for tuberculosis construct","Drug sensitivity test contaminated","4.0","concept-set"
"Drug sensitivity test for tuberculosis construct","TB drug resistance","5.0","concept-set"
"Drug use construct","History of exposure","1000.0","concept-set"
"Drug use construct","Date of exposure","1010.0","concept-set"
"Drug use construct","Duration in years","1020.0","concept-set"
"Drug use construct","Other non-coded (text)","1030.0","concept-set"
"Duration of current cough","Less than one week","0.0","concept-set"
"Duration of current cough","One week","1.0","concept-set"
"Duration of current cough","2 weeks","2.0","concept-set"
"Duration of current cough","3 weeks","3.0","concept-set"
"Duration of current cough","4 weeks","4.0","concept-set"
"Duration of current cough","More than one month","5.0","concept-set"
"Duration of current cough","Unknown","6.0","concept-set"
"Duration of NVP construct","Time units","1000.0","concept-set"
"Duration of NVP construct","Medication duration","1010.0","concept-set"
"Ear disorders","Otitis externa","1.0","concept-set"
"Ear disorders","Otitis media","2.0","concept-set"
"Echocardiogram construct","Name of doctor","1000.0","concept-set"
"Echocardiogram construct","Date of general test","1010.0","concept-set"
"Echocardiogram construct","Location where test took place","1020.0","concept-set"
"Echocardiogram construct","Other lab test result","1030.0","concept-set"
"Echocardiogram construct","Previous echocardiogram taken","1040.0","concept-set"
"Echocardiogram construct","Ddb echocardiograph result","1050.0","concept-set"
"Echocardiogram construct","ECHO imaging result","1060.0","concept-set"
"Echocardiographic measurements","Left ventricular diastolic dimension","0.0","concept-set"
"Echocardiographic measurements","Interventricular septal wall thickness","1.0","concept-set"
"Echocardiographic measurements","Left atrial 4ac length","2.0","concept-set"
"Echocardiographic measurements","Peak left ventricular outflow tract velocity","3.0","concept-set"
"Echocardiographic measurements","Estimated right atrial pressure","4.0","concept-set"
"Echocardiographic measurements","Left ventricular systolic dimension","5.0","concept-set"
"Echocardiographic measurements","Inferolateral wall thickness","6.0","concept-set"
"Echocardiographic measurements","Right atrial a4c length","7.0","concept-set"
"Echocardiographic measurements","Peak aortic valve velocity","8.0","concept-set"
"Echocardiographic measurements","Estimated pulmonary artery systolic pressure","9.0","concept-set"
"Echocardiographic measurements","Ejection fraction","10.0","concept-set"
"Echocardiographic measurements","Left atrial pla dimension","11.0","concept-set"
"Echocardiographic measurements","Aortic root diameter","12.0","concept-set"
"Echocardiographic measurements","Peak tricuspid regurgitant gradient","13.0","concept-set"
"Echocardiographic measurements","Peak tricuspid regurgitant gradient may be underestimated","14.0","concept-set"
"Echocardiographic measurements","Mitral E wave","15.0","concept-set"
"Echocardiographic measurements","Mitral A wave","16.0","concept-set"
"Echocardiographic measurements","Mitral A wave is absent","17.0","concept-set"
"Echocardiographic measurements","Mitral E prime wave (lateral)","18.0","concept-set"
"Electrocardiogram construct","Date of general test","0.0","concept-set"
"Electrocardiogram construct","Electrocardiogram diagnosis","1.0","concept-set"
"Electrocardiogram construct","Infarcation location","2.0","concept-set"
"Encephalopathy","Encephalopathy hepatic","0.0","concept-set"
"Encephalopathy","HIV encephalopathy","1.0","concept-set"
"Encephalopathy","Encephalopathy hypoxic","2.0","concept-set"
"Encephalopathy","Encephalopathy respiratory","3.0","concept-set"
"Encephalopathy","Encephalopathy other","4.0","concept-set"
"Epilepsy complication construct","Epilepsy complications","1000.0","concept-set"
"Epilepsy complication construct","Date of complication","1010.0","concept-set"
"EPTB classification","Pulmonary effusion","0.0","concept-set"
"EPTB classification","Lymphadenopathy","1.0","concept-set"
"EPTB classification","Pericardial effusion","2.0","concept-set"
"EPTB classification","Ascites","3.0","concept-set"
"EPTB classification","Spinal disease","4.0","concept-set"
"EPTB classification","Meningitis","5.0","concept-set"
"EPTB classification","Other","6.0","concept-set"
"Ever had tuberculosis construct","Ever had active tuberculosis","0.0","concept-set"
"Ever had tuberculosis construct","Past TB sputum smear","1.0","concept-set"
"Ever had tuberculosis construct","Tuberculosis diagnosis date","2.0","concept-set"
"Examination of systems construct","Physical system normal","0.0","concept-set"
"Examination of systems construct","Physical system abnormal","1.0","concept-set"
"Examination of systems construct","Physical system comment","2.0","concept-set"
"Exposure construct","Exposure","1000.0","concept-set"
"Exposure construct","Exposure","1000.0","concept-set"
"Exposure construct","Exposure","1000.0","concept-set"
"Exposure construct","Exposure","1000.0","concept-set"
"Exposure construct","Date of exposure","1010.0","concept-set"
"Exposure construct","Date of exposure","1010.0","concept-set"
"Exposure construct","Date of exposure","1010.0","concept-set"
"Exposure construct","Date of exposure","1010.0","concept-set"
"Extremity exam construct","Extremity exam findings","0.0","concept-set"
"Extremity exam construct","Musculoskeletal exam findings","1.0","concept-set"
"Extremity exam construct","Physical system comment","2.0","concept-set"
"Facial Abnormalities Set","Small jaw","1000.0","concept-set"
"Facial Abnormalities Set","Other non-coded (text)","1010.0","concept-set"
"Facial Abnormalities Set","Other (coded)","1020.0","concept-set"
"Family health seeking behavior construct","The last time someone in your family was too ill to work/do chores in house; did this person seek medical attention","0.0","concept-set"
"Family health seeking behavior construct","If this person did seek medical attention, where was it?","1.0","concept-set"
"Feeding Concerns","None Concerns","1000.0","concept-set"
"Feeding Concerns","Poor Suck","1010.0","concept-set"
"Feeding Concerns","Refs to feed","1020.0","concept-set"
"Feeding Concerns","Less feed","1030.0","concept-set"
"Feeding Set","Breast feeding","1000.0","concept-set"
"Feeding Set","Cup-feeding","1010.0","concept-set"
"Feeding Set","Orogastric tube","1020.0","concept-set"
"First line antiretroviral regimen","Stavudine Lamivudine and Nevirapine","0.0","concept-set"
"First-line tuberculosis drugs","Isoniazid","0.0","concept-set"
"First-line tuberculosis drugs","Rifampicin","1.0","concept-set"
"First-line tuberculosis drugs","Ethambutol","2.0","concept-set"
"First-line tuberculosis drugs","Pyrazinamide","3.0","concept-set"
"FL OX blood sample","Serum glucose","0.0","concept-set"
"Food support received since starting antiretrovirals construct","Food support received since starting antiretrovirals","0.0","concept-set"
"Food support received since starting antiretrovirals construct","Description of food support","1.0","concept-set"
"Food support received since starting antiretrovirals construct","Number of months","2.0","concept-set"
"Food support received since starting antiretrovirals construct","Name of support provider","3.0","concept-set"
"Fracture","Skull","0.0","concept-set"
"Fracture","Spine","1.0","concept-set"
"Fracture","Rib","2.0","concept-set"
"Fracture","Pelvis","3.0","concept-set"
"Fracture","Upper limb","4.0","concept-set"
"Fracture","Lower limb","5.0","concept-set"
"Functional review of symptoms construct","Symptom present","0.0","concept-set"
"Functional review of symptoms construct","Symptom absent","1.0","concept-set"
"Functional review of symptoms construct","Symptom presence unknown","2.0","concept-set"
"Functional review of symptoms construct","Functional review of symptoms non-coded","3.0","concept-set"
"Functional review of symptoms construct","Symptom comment","4.0","concept-set"
"Functional review of symptoms construct","Symptom etiology","5.0","concept-set"
"Functional review of symptoms construct","Duration of symptom in days","6.0","concept-set"
"Functional review of symptoms construct","Duration of symptom in weeks","7.0","concept-set"
"Functional review of symptoms construct","Duration of symptom in months","8.0","concept-set"
"Functional review of symptoms construct","Duration of symptoms in years","9.0","concept-set"
"Funding for medication unavailable","Inability to pay","0.0","concept-set"
"Funding for medication unavailable","Organization lacks finances","1.0","concept-set"
"Gastrointestinal Concerns","Gastrointestinal Concerns - Stool set","1000.0","concept-set"
"Gastrointestinal Concerns","Patient Vomiting","1010.0","concept-set"
"Gastrointestinal Concerns - Stool set","Diarrhea Persistent","1000.0","concept-set"
"Gastrointestinal Concerns - Stool set","Diarrhea Persistent","1010.0","concept-set"
"General exam construct","General exam findings","0.0","concept-set"
"General exam construct","Physical system comment","1.0","concept-set"
"Genetic Syndrome Set","Suspected","1000.0","concept-set"
"Genetic Syndrome Set","Confirmed (coded)","1010.0","concept-set"
"GeneXpert MTB/Rif Lab set","Tuberculosis polymerase chain reaction with rifampin resistance checking","1000.0","concept-set"
"GeneXpert MTB/Rif Lab set","Mycobacterium tuberculosis rifampin resistance detection status","1010.0","concept-set"
"GI Bleed","Upper","0.0","concept-set"
"GI Bleed","Lower","1.0","concept-set"
"Gram stain result","Gram positive rods","0.0","concept-set"
"Gram stain result","Gram negative rods","1.0","concept-set"
"Gram stain result","Gram positive cocci","2.0","concept-set"
"Gram stain result","Gram positive diplococci","3.0","concept-set"
"Gram stain result","Gram negative diplococci","4.0","concept-set"
"Gram stain result","Gram negative cocco-bacilli","5.0","concept-set"
"Gram stain result","Gram negative cocci","6.0","concept-set"
"Gram stain result","Yeast cells","7.0","concept-set"
"Gram stain result","No organisms seen","8.0","concept-set"
"Have you ever traveled to a clinic or hospital that is far away, instead of going to a nearby clinic/hospital, because of your HIV status construct","Have you ever traveled to a clinic or hospital that is far away, instead of going to a nearby clinic/hospital, because of your HIV status","0.0","concept-set"
"Have you ever traveled to a clinic or hospital that is far away, instead of going to a nearby clinic/hospital, because of your HIV status construct","If you have traveled to a clinic or hospital that is far away, instead of going to a nearby clinic/hospital, because of your HIV status, why?","1.0","concept-set"
"Heent exam construct","Heent exam findings","0.0","concept-set"
"Heent exam construct","Physical system comment","1.0","concept-set"
"Heent exam construct","Jugular venous pressure","2.0","concept-set"
"Heent exam construct","Lymphadenopathy comments","3.0","concept-set"
"Hematology results set","Hematocrit","0.0","concept-set"
"Hematology results set","Hemoglobin","1.0","concept-set"
"Hematology results set","Mean cell hemoglobin concentration","2.0","concept-set"
"Hematology results set","White blood cells","3.0","concept-set"
"Hematology results set","Granulocyte","4.0","concept-set"
"Hematology results set","Granulocyte percent","5.0","concept-set"
"Hematology results set","Absolute lymphocyte count","6.0","concept-set"
"Hematology results set","Lymphocytes","7.0","concept-set"
"Hematology results set","Platelets","8.0","concept-set"
"Hematology results set","Hepatosplenomegaly","9.0","concept-set"
"Hematology results set","Blood typing","10.0","concept-set"
"HIV diagnosis construct","Date of HIV diagnosis","0.0","concept-set"
"HIV Preventive Therapy","Current drugs used","1000.0","concept-set"
"HIV Preventive Therapy","Amount dispensed","1010.0","concept-set"
"HIV Preventive Therapy Construct","HIV Preventive Therapy","1000.0","concept-set"
"HIV Preventive Therapy Construct","Amount dispensed","1010.0","concept-set"
"HIV serology of relative construct","Relationship of relative to patient","0.0","concept-set"
"HIV serology of relative construct","Names and firstnames of contact","1.0","concept-set"
"HIV serology of relative construct","Age of contact","2.0","concept-set"
"HIV serology of relative construct","Is person living","3.0","concept-set"
"HIV serology of relative construct","Contact has had HIV testing","4.0","concept-set"
"HIV serology of relative construct","Result of HIV test","5.0","concept-set"
"HIV serology of relative construct","Lastname of contact","6.0","concept-set"
"HIV serology of relative construct","Firstnames of contact","7.0","concept-set"
"HIV serology of relative construct","Contact under care for HIV in clinic","8.0","concept-set"
"HIV serology of relative construct","Name of clinic caring for contact","9.0","concept-set"
"HIV serology of relative construct","Clinic site other","10.0","concept-set"
"HIV status disclosure construct","Have you disclosed your HIV status to anyone?","0.0","concept-set"
"HIV status disclosure construct","If you have disclosed your HIV status, to how many people?","1.0","concept-set"
"HIV status disclosure to partner construct","Have you disclosed your HIV status to your partner","0.0","concept-set"
"HIV status disclosure to partner construct","If you have disclosed your status to your partner, how long did you wait to tell?","1.0","concept-set"
"Hospitalization construct","Location of hospitalization","0.0","concept-set"
"Hospitalization construct","Date of hospital admittance","1.0","concept-set"
"Hospitalization construct","Hospitalization discharge date","2.0","concept-set"
"Hospitalization construct","Diagnosis while hospitalized","3.0","concept-set"
"Hospitalization duration construct","Duration of hospitalization in days","0.0","concept-set"
"Hospitalization duration construct","Duration of hospitalization in weeks","1.0","concept-set"
"Hospitalization duration construct","Duration of hospitalization in months","2.0","concept-set"
"Household antiretroviral construct","Is anyone else in your house currently taking antiretrovirals","0.0","concept-set"
"Household antiretroviral construct","Number of household members on antiretrovirals","1.0","concept-set"
"Housing construct","Number of people who live in house including patient","0.0","concept-set"
"Housing construct","Number of rooms in house","1.0","concept-set"
"Housing construct","Roof material","2.0","concept-set"
"Housing construct","Floor material","3.0","concept-set"
"Housing construct","Toilet","4.0","concept-set"
"Housing construct","Patient owns radio","5.0","concept-set"
"Hypertension Medication Set","Hydrochlorothiazide","1000.0","concept-set"
"Hypertension Medication Set","Captopril","1010.0","concept-set"
"Hypertension Medication Set","Amlodipine","1020.0","concept-set"
"Hypertension Medication Set","Enalapril","1030.0","concept-set"
"Hypertension Medication Set","Nifedipine","1040.0","concept-set"
"Hypertension Medication Set","Atenolol","1050.0","concept-set"
"Hypertension Medication Set","Lisinopril","1060.0","concept-set"
"Hypertension Medication Set","Propranolol","1070.0","concept-set"
"If enrolled in a mutuelle, who paid for it construct","If enrolled in a mutuelle, who paid for it","0.0","concept-set"
"If enrolled in a mutuelle, who paid for it construct","If enrolled in a mutuelle, who paid for it, non-coded","1.0","concept-set"
"If you have disclosed your status to your partner, how long did you wait to tell construct","If you have disclosed your status to your partner, how long did you wait to tell?","0.0","concept-set"
"If you have disclosed your status to your partner, how long did you wait to tell construct","If you have disclosed your status to your partner, how long did you wait to tell, non-coded","1.0","concept-set"
"Immune reconstitution inflammatory syndrome construct","Immune reconstitution inflammatory syndrome","0.0","concept-set"
"Immune reconstitution inflammatory syndrome construct","Immune reconstitution inflammatory syndrome date","1.0","concept-set"
"Injectable contraceptives","Depo-provera","0.0","concept-set"
"Injectible tuberculosis drugs","Streptomycin","0.0","concept-set"
"Injectible tuberculosis drugs","Capreomycin","1.0","concept-set"
"Injectible tuberculosis drugs","Kanamycin","2.0","concept-set"
"Injectible tuberculosis drugs","Amikacin","3.0","concept-set"
"Inpatient diagnoses list","Sepsis clinical","0.0","concept-set"
"Inpatient diagnoses list","Sepsis NTS isolated","1.0","concept-set"
"Inpatient diagnoses list","Sepsis S pneumoniae isolated","2.0","concept-set"
"Inpatient diagnoses list","Sepsis other organism","3.0","concept-set"
"Inpatient diagnoses list","Malaria uncomplicated","4.0","concept-set"
"Inpatient diagnoses list","Malaria cerebral","5.0","concept-set"
"Inpatient diagnoses list","Malaria severe anaemia","6.0","concept-set"
"Inpatient diagnoses list","Malaria acute renal failure","7.0","concept-set"
"Inpatient diagnoses list","Malaria respiratory distress","8.0","concept-set"
"Inpatient diagnoses list","Malaria other complication","9.0","concept-set"
"Inpatient diagnoses list","Meningitis bacterial S pneumoniae grown","10.0","concept-set"
"Inpatient diagnoses list","Meningitis bacterial N meningitides grown","11.0","concept-set"
"Inpatient diagnoses list","Meningitis bacterial clinical","12.0","concept-set"
"Inpatient diagnoses list","Meningitis bacterial other organism","13.0","concept-set"
"Inpatient diagnoses list","Meningitis viral","14.0","concept-set"
"Inpatient diagnoses list","Cryptococcal meningitis","15.0","concept-set"
"Inpatient diagnoses list","Meningitis tuberculous","16.0","concept-set"
"Inpatient diagnoses list","Meningitis other cause","17.0","concept-set"
"Inpatient diagnoses list","Encephalopathy hepatic","18.0","concept-set"
"Inpatient diagnoses list","HIV encephalopathy","19.0","concept-set"
"Inpatient diagnoses list","Encephalopathy hypoxic","20.0","concept-set"
"Inpatient diagnoses list","Encephalopathy respiratory","21.0","concept-set"
"Inpatient diagnoses list","Encephalopathy other","22.0","concept-set"
"Inpatient diagnoses list","Encephalitis","23.0","concept-set"
"Inpatient diagnoses list","Rabies","24.0","concept-set"
"Inpatient diagnoses list","Tetanus","25.0","concept-set"
"Inpatient diagnoses list","Stroke ischaemic hypertension","26.0","concept-set"
"Inpatient diagnoses list","Stroke ischaemic diabetes","27.0","concept-set"
"Inpatient diagnoses list","Stroke ischaemic heart disease","28.0","concept-set"
"Inpatient diagnoses list","Stroke ischaemic HIV","29.0","concept-set"
"Inpatient diagnoses list","Stroke ischaemic syphilis","30.0","concept-set"
"Inpatient diagnoses list","Stroke ischaemic other","31.0","concept-set"
"Inpatient diagnoses list","Stroke ischaemic unknown","32.0","concept-set"
"Inpatient diagnoses list","Stroke haemorrhagic hypertension","33.0","concept-set"
"Inpatient diagnoses list","Stroke haemorrhagic diabetes","34.0","concept-set"
"Inpatient diagnoses list","Stroke haemorrhagic heart disease","35.0","concept-set"
"Inpatient diagnoses list","Stroke haemorrhagic HIV","36.0","concept-set"
"Inpatient diagnoses list","Stroke haemorrhagic syphilis","37.0","concept-set"
"Inpatient diagnoses list","Stroke haemorrhagic other","38.0","concept-set"
"Inpatient diagnoses list","Stroke haemorrhagic unknown","39.0","concept-set"
"Inpatient diagnoses list","Stroke unknown type hypertension","40.0","concept-set"
"Inpatient diagnoses list","Stroke unknown type diabetes","41.0","concept-set"
"Inpatient diagnoses list","Stroke unknown type heart disease","42.0","concept-set"
"Inpatient diagnoses list","Stroke unknown type HIV","43.0","concept-set"
"Inpatient diagnoses list","Stroke unknown type syphilis","44.0","concept-set"
"Inpatient diagnoses list","Stroke unknown type other","45.0","concept-set"
"Inpatient diagnoses list","Stroke other hypertension","46.0","concept-set"
"Inpatient diagnoses list","Stroke other diabetes","47.0","concept-set"
"Inpatient diagnoses list","Stroke other heart disease","48.0","concept-set"
"Inpatient diagnoses list","Stroke other HIV","49.0","concept-set"
"Inpatient diagnoses list","Stroke other syphilis","50.0","concept-set"
"Inpatient diagnoses list","Stroke other unknown","51.0","concept-set"
"Inpatient diagnoses list","Paraplegia tuberculous","52.0","concept-set"
"Inpatient diagnoses list","Paraplegia pyogenic","53.0","concept-set"
"Inpatient diagnoses list","Paraplegia transverse myelitis","54.0","concept-set"
"Inpatient diagnoses list","Paraplegia syphilis","55.0","concept-set"
"Inpatient diagnoses list","Paraplegia schistosomiasis","56.0","concept-set"
"Inpatient diagnoses list","Paraplegia malignancy","57.0","concept-set"
"Inpatient diagnoses list","Paraplegia unexplained","58.0","concept-set"
"Inpatient diagnoses list","Paraplegia other","59.0","concept-set"
"Inpatient diagnoses list","Toxoplasmosis of the brain","60.0","concept-set"
"Inpatient diagnoses list","Subarachnoid haemorrhage","61.0","concept-set"
"Inpatient diagnoses list","Subdural haematoma","62.0","concept-set"
"Inpatient diagnoses list","Extradural haematoma","63.0","concept-set"
"Inpatient diagnoses list","Cerebral abscess","64.0","concept-set"
"Inpatient diagnoses list","Neurocysticercosis","65.0","concept-set"
"Inpatient diagnoses list","Space occupying lesion cerebral toxoplasmosis","66.0","concept-set"
"Inpatient diagnoses list","Space occupying lesion cerebral tumour","67.0","concept-set"
"Inpatient diagnoses list","Space occupying lesion cerebral lymphoma","68.0","concept-set"
"Inpatient diagnoses list","Space occupying lesion cerebral metastases","69.0","concept-set"
"Inpatient diagnoses list","Space occupying lesion unknown","70.0","concept-set"
"Inpatient diagnoses list","Space occupying lesion other","71.0","concept-set"
"Inpatient diagnoses list","Seizures grandmal","72.0","concept-set"
"Inpatient diagnoses list","Seizures focal","73.0","concept-set"
"Inpatient diagnoses list","Seizures petit mal","74.0","concept-set"
"Inpatient diagnoses list","Seizures status epilepticus","75.0","concept-set"
"Inpatient diagnoses list","Seizures known epileptic","76.0","concept-set"
"Inpatient diagnoses list","Seizures other","77.0","concept-set"
"Inpatient diagnoses list","Coma unknown cause","78.0","concept-set"
"Inpatient diagnoses list","Peripheral neuropathy drug related - stavudine","79.0","concept-set"
"Inpatient diagnoses list","Peripheral neuropathy drug related - TB drugs","80.0","concept-set"
"Inpatient diagnoses list","Peripheral neuropathy VIT B12 deficiency","81.0","concept-set"
"Inpatient diagnoses list","Peripheral neuropathy likely due to HIV","82.0","concept-set"
"Inpatient diagnoses list","Peripheral neuropathy unexplained","83.0","concept-set"
"Inpatient diagnoses list","Peripheral neuropathy other cause","84.0","concept-set"
"Inpatient diagnoses list","Psychosis acute","85.0","concept-set"
"Inpatient diagnoses list","Psychosis chronic","86.0","concept-set"
"Inpatient diagnoses list","Psychosis drug induced","87.0","concept-set"
"Inpatient diagnoses list","Psychosis alcohol induced","88.0","concept-set"
"Inpatient diagnoses list","Psychosis alcohol withdrawal","89.0","concept-set"
"Inpatient diagnoses list","Psychosis organic","90.0","concept-set"
"Inpatient diagnoses list","Psychosis other","91.0","concept-set"
"Inpatient diagnoses list","Depression","92.0","concept-set"
"Inpatient diagnoses list","Other neurological condition","93.0","concept-set"
"Inpatient diagnoses list","Other mental illnesses","94.0","concept-set"
"Inpatient diagnoses list","Peripartum cardiomyopathy","95.0","concept-set"
"Inpatient diagnoses list","Cardiomyopathy ischaemia","96.0","concept-set"
"Inpatient diagnoses list","Cardiomyopathy post infection","97.0","concept-set"
"Inpatient diagnoses list","Alcoholic cardiomyopathy","98.0","concept-set"
"Inpatient diagnoses list","HIV associated cardiomyopathy","99.0","concept-set"
